State,Latitude,Longitude,City
AL,32.6010112,-86.6807365,Alabama
AR,34.7519275,-92.1313784,Arkansas
DE,39.145251,-75.4189206,Delaware
FL,27.9757279,-83.8330166,Florida
GA,32.6781248,-83.2229757,Georgia
IL,39.739318,-89.504139,Illinois
IN,39.7662195,-86.441277,Indiana
KS,38.4987789,-98.3200779,Kansas
KY,37.8222935,-85.7682399,Kentucky
LA,30.9733766,-91.4299097,Louisiana
MA,42.416759,-71.6828468,Massachusetts
MD,38.8063524,-77.2684162,Maryland
MI,44.9435598,-86.4158049,Michigan
MN,46.4418595,-93.3655146,Minnesota
MO,38.3046615,-92.437099,Missouri
MS,32.5851062,-89.8772196,Mississippi
NC,35.2145629,-79.8912675,North Carolina
NH,44.0012306,-71.5799231,New Hampshire
NJ,40.1430058,-74.7311156,New Jersey
NY,43.088947,-76.15448,New York
OH,40.1903624,-82.6692525,Ohio
OK,35.3097654,-98.7165585,Oklahoma
PA,40.9945928,-77.6046984,Pennsylvania
SC,33.62505,-80.9470381,South Carolina
TN,35.830521,-85.9785989,Tennessee
TX,31.1693363,-100.0768425,Texas
VA,38.0033855,-79.4587861,Virginia
WI,44.7862968,-89.8267049,Wisconsin
